imagenet_label	wordnet_id	imagenet_a_label	name
0	1440764	n01440764	tench, Tinca tinca
1	1443537	n01443537	goldfish, Carassius auratus
2	1484850	n01484850	great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias
3	1491361	n01491361	tiger shark, Galeocerdo cuvieri
4	1494475	n01494475	hammerhead, hammerhead shark
5	1496331	n01496331	electric ray, crampfish, numbfish, torpedo
6	1498041	n01498041	stingray
7	1514668	n01514668	cock
8	1514859	n01514859	hen
9	1518878	n01518878	ostrich, Struthio camelus
10	1530575	n01530575	brambling, Fringilla montifringilla
11	1531178	n01531178	goldfinch, Carduelis carduelis
12	1532829	n01532829	house finch, linnet, Carpodacus mexicanus
13	1534433	n01534433	junco, snowbird
14	1537544	n01537544	indigo bunting, indigo finch, indigo bird, Passerina cyanea
15	1558993	n01558993	robin, American robin, Turdus migratorius
16	1560419	n01560419	bulbul
17	1580077	n01580077	jay
18	1582220	n01582220	magpie
19	1592084	n01592084	chickadee
20	1601694	n01601694	water ouzel, dipper
21	1608432	n01608432	kite
22	1614925	n01614925	bald eagle, American eagle, Haliaeetus leucocephalus
23	1616318	n01616318	vulture
24	1622779	n01622779	great grey owl, great gray owl, Strix nebulosa
25	1629819	n01629819	European fire salamander, Salamandra salamandra
26	1630670	n01630670	common newt, Triturus vulgaris
27	1631663	n01631663	eft
28	1632458	n01632458	spotted salamander, Ambystoma maculatum
29	1632777	n01632777	axolotl, mud puppy, Ambystoma mexicanum
30	1641577	n01641577	bullfrog, Rana catesbeiana
31	1644373	n01644373	tree frog, tree-frog
32	1644900	n01644900	tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui
33	1664065	n01664065	loggerhead, loggerhead turtle, Caretta caretta
34	1665541	n01665541	leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea
35	1667114	n01667114	mud turtle
36	1667778	n01667778	terrapin
37	1669191	n01669191	box turtle, box tortoise
38	1675722	n01675722	banded gecko
39	1677366	n01677366	common iguana, iguana, Iguana iguana
40	1682714	n01682714	American chameleon, anole, Anolis carolinensis
41	1685808	n01685808	whiptail, whiptail lizard
42	1687978	n01687978	agama
43	1688243	n01688243	frilled lizard, Chlamydosaurus kingi
44	1689811	n01689811	alligator lizard
45	1692333	n01692333	Gila monster, Heloderma suspectum
46	1693334	n01693334	green lizard, Lacerta viridis
47	1694178	n01694178	African chameleon, Chamaeleo chamaeleon
48	1695060	n01695060	Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis
49	1697457	n01697457	African crocodile, Nile crocodile, Crocodylus niloticus
50	1698640	n01698640	American alligator, Alligator mississipiensis
51	1704323	n01704323	triceratops
52	1728572	n01728572	thunder snake, worm snake, Carphophis amoenus
53	1728920	n01728920	ringneck snake, ring-necked snake, ring snake
54	1729322	n01729322	hognose snake, puff adder, sand viper
55	1729977	n01729977	green snake, grass snake
56	1734418	n01734418	king snake, kingsnake
57	1735189	n01735189	garter snake, grass snake
58	1737021	n01737021	water snake
59	1739381	n01739381	vine snake
60	1740131	n01740131	night snake, Hypsiglena torquata
61	1742172	n01742172	boa constrictor, Constrictor constrictor
62	1744401	n01744401	rock python, rock snake, Python sebae
63	1748264	n01748264	Indian cobra, Naja naja
64	1749939	n01749939	green mamba
65	1751748	n01751748	sea snake
66	1753488	n01753488	horned viper, cerastes, sand viper, horned asp, Cerastes cornutus
67	1755581	n01755581	diamondback, diamondback rattlesnake, Crotalus adamanteus
68	1756291	n01756291	sidewinder, horned rattlesnake, Crotalus cerastes
69	1768244	n01768244	trilobite
70	1770081	n01770081	harvestman, daddy longlegs, Phalangium opilio
71	1770393	n01770393	scorpion
72	1773157	n01773157	black and gold garden spider, Argiope aurantia
73	1773549	n01773549	barn spider, Araneus cavaticus
74	1773797	n01773797	garden spider, Aranea diademata
75	1774384	n01774384	black widow, Latrodectus mactans
76	1774750	n01774750	tarantula
77	1775062	n01775062	wolf spider, hunting spider
78	1776313	n01776313	tick
79	1784675	n01784675	centipede
80	1795545	n01795545	black grouse
81	1796340	n01796340	ptarmigan
82	1797886	n01797886	ruffed grouse, partridge, Bonasa umbellus
83	1798484	n01798484	prairie chicken, prairie grouse, prairie fowl
84	1806143	n01806143	peacock
85	1806567	n01806567	quail
86	1807496	n01807496	partridge
87	1817953	n01817953	African grey, African gray, Psittacus erithacus
88	1818515	n01818515	macaw
89	1819313	n01819313	sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita
90	1820546	n01820546	lorikeet
91	1824575	n01824575	coucal
92	1828970	n01828970	bee eater
93	1829413	n01829413	hornbill
94	1833805	n01833805	hummingbird
95	1843065	n01843065	jacamar
96	1843383	n01843383	toucan
97	1847000	n01847000	drake
98	1855032	n01855032	red-breasted merganser, Mergus serrator
99	1855672	n01855672	goose
100	1860187	n01860187	black swan, Cygnus atratus
101	1871265	n01871265	tusker
102	1872401	n01872401	echidna, spiny anteater, anteater
103	1873310	n01873310	platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus
104	1877812	n01877812	wallaby, brush kangaroo
105	1882714	n01882714	koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus
106	1883070	n01883070	wombat
107	1910747	n01910747	jellyfish
108	1914609	n01914609	sea anemone, anemone
109	1917289	n01917289	brain coral
110	1924916	n01924916	flatworm, platyhelminth
111	1930112	n01930112	nematode, nematode worm, roundworm
112	1943899	n01943899	conch
113	1944390	n01944390	snail
114	1945685	n01945685	slug
115	1950731	n01950731	sea slug, nudibranch
116	1955084	n01955084	chiton, coat-of-mail shell, sea cradle, polyplacophore
117	1968897	n01968897	chambered nautilus, pearly nautilus, nautilus
118	1978287	n01978287	Dungeness crab, Cancer magister
119	1978455	n01978455	rock crab, Cancer irroratus
120	1980166	n01980166	fiddler crab
121	1981276	n01981276	king crab, Alaska crab, Alaskan king crab, Alaska king crab, Paralithodes camtschatica
122	1983481	n01983481	American lobster, Northern lobster, Maine lobster, Homarus americanus
123	1984695	n01984695	spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish
124	1985128	n01985128	crayfish, crawfish, crawdad, crawdaddy
125	1986214	n01986214	hermit crab
126	1990800	n01990800	isopod
127	2002556	n02002556	white stork, Ciconia ciconia
128	2002724	n02002724	black stork, Ciconia nigra
129	2006656	n02006656	spoonbill
130	2007558	n02007558	flamingo
131	2009229	n02009229	little blue heron, Egretta caerulea
132	2009912	n02009912	American egret, great white heron, Egretta albus
133	2011460	n02011460	bittern
134	3126707	n03126707	crane
135	2013706	n02013706	limpkin, Aramus pictus
136	2017213	n02017213	European gallinule, Porphyrio porphyrio
137	2018207	n02018207	American coot, marsh hen, mud hen, water hen, Fulica americana
138	2018795	n02018795	bustard
139	2025239	n02025239	ruddy turnstone, Arenaria interpres
140	2027492	n02027492	red-backed sandpiper, dunlin, Erolia alpina
141	2028035	n02028035	redshank, Tringa totanus
142	2033041	n02033041	dowitcher
143	2037110	n02037110	oystercatcher, oyster catcher
144	2051845	n02051845	pelican
145	2056570	n02056570	king penguin, Aptenodytes patagonica
146	2058221	n02058221	albatross, mollymawk
147	2066245	n02066245	grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus
148	2071294	n02071294	killer whale, killer, orca, grampus, sea wolf, Orcinus orca
149	2074367	n02074367	dugong, Dugong dugon
150	2077923	n02077923	sea lion
151	2085620	n02085620	Chihuahua
152	2085782	n02085782	Japanese spaniel
153	2085936	n02085936	Maltese dog, Maltese terrier, Maltese
154	2086079	n02086079	Pekinese, Pekingese, Peke
155	2086240	n02086240	Shih-Tzu
156	2086646	n02086646	Blenheim spaniel
157	2086910	n02086910	papillon
158	2087046	n02087046	toy terrier
159	2087394	n02087394	Rhodesian ridgeback
160	2088094	n02088094	Afghan hound, Afghan
161	2088238	n02088238	basset, basset hound
162	2088364	n02088364	beagle
163	2088466	n02088466	bloodhound, sleuthhound
164	2088632	n02088632	bluetick
165	2089078	n02089078	black-and-tan coonhound
166	2089867	n02089867	Walker hound, Walker foxhound
167	2089973	n02089973	English foxhound
168	2090379	n02090379	redbone
169	2090622	n02090622	borzoi, Russian wolfhound
170	2090721	n02090721	Irish wolfhound
171	2091032	n02091032	Italian greyhound
172	2091134	n02091134	whippet
173	2091244	n02091244	Ibizan hound, Ibizan Podenco
174	2091467	n02091467	Norwegian elkhound, elkhound
175	2091635	n02091635	otterhound, otter hound
176	2091831	n02091831	Saluki, gazelle hound
177	2092002	n02092002	Scottish deerhound, deerhound
178	2092339	n02092339	Weimaraner
179	2093256	n02093256	Staffordshire bullterrier, Staffordshire bull terrier
180	2093428	n02093428	American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier
181	2093647	n02093647	Bedlington terrier
182	2093754	n02093754	Border terrier
183	2093859	n02093859	Kerry blue terrier
184	2093991	n02093991	Irish terrier
185	2094114	n02094114	Norfolk terrier
186	2094258	n02094258	Norwich terrier
187	2094433	n02094433	Yorkshire terrier
188	2095314	n02095314	wire-haired fox terrier
189	2095570	n02095570	Lakeland terrier
190	2095889	n02095889	Sealyham terrier, Sealyham
191	2096051	n02096051	Airedale, Airedale terrier
192	2096177	n02096177	cairn, cairn terrier
193	2096294	n02096294	Australian terrier
194	2096437	n02096437	Dandie Dinmont, Dandie Dinmont terrier
195	2096585	n02096585	Boston bull, Boston terrier
196	2097047	n02097047	miniature schnauzer
197	2097130	n02097130	giant schnauzer
198	2097209	n02097209	standard schnauzer
199	2097298	n02097298	Scotch terrier, Scottish terrier, Scottie
200	2097474	n02097474	Tibetan terrier, chrysanthemum dog
201	2097658	n02097658	silky terrier, Sydney silky
202	2098105	n02098105	soft-coated wheaten terrier
203	2098286	n02098286	West Highland white terrier
204	2098413	n02098413	Lhasa, Lhasa apso
205	2099267	n02099267	flat-coated retriever
206	2099429	n02099429	curly-coated retriever
207	2099601	n02099601	golden retriever
208	2099712	n02099712	Labrador retriever
209	2099849	n02099849	Chesapeake Bay retriever
210	2100236	n02100236	German short-haired pointer
211	2100583	n02100583	vizsla, Hungarian pointer
212	2100735	n02100735	English setter
213	2100877	n02100877	Irish setter, red setter
214	2101006	n02101006	Gordon setter
215	2101388	n02101388	Brittany spaniel
216	2101556	n02101556	clumber, clumber spaniel
217	2102040	n02102040	English springer, English springer spaniel
218	2102177	n02102177	Welsh springer spaniel
219	2102318	n02102318	cocker spaniel, English cocker spaniel, cocker
220	2102480	n02102480	Sussex spaniel
221	2102973	n02102973	Irish water spaniel
222	2104029	n02104029	kuvasz
223	2104365	n02104365	schipperke
224	2105056	n02105056	groenendael
225	2105162	n02105162	malinois
226	2105251	n02105251	briard
227	2105412	n02105412	kelpie
228	2105505	n02105505	komondor
229	2105641	n02105641	Old English sheepdog, bobtail
230	2105855	n02105855	Shetland sheepdog, Shetland sheep dog, Shetland
231	2106030	n02106030	collie
232	2106166	n02106166	Border collie
233	2106382	n02106382	Bouvier des Flandres, Bouviers des Flandres
234	2106550	n02106550	Rottweiler
235	2106662	n02106662	German shepherd, German shepherd dog, German police dog, alsatian
236	2107142	n02107142	Doberman, Doberman pinscher
237	2107312	n02107312	miniature pinscher
238	2107574	n02107574	Greater Swiss Mountain dog
239	2107683	n02107683	Bernese mountain dog
240	2107908	n02107908	Appenzeller
241	2108000	n02108000	EntleBucher
242	2108089	n02108089	boxer
243	2108422	n02108422	bull mastiff
244	2108551	n02108551	Tibetan mastiff
245	2108915	n02108915	French bulldog
246	2109047	n02109047	Great Dane
247	2109525	n02109525	Saint Bernard, St Bernard
248	2109961	n02109961	Eskimo dog, husky
249	2110063	n02110063	malamute, malemute, Alaskan malamute
250	2110185	n02110185	Siberian husky
251	2110341	n02110341	dalmatian, coach dog, carriage dog
252	2110627	n02110627	affenpinscher, monkey pinscher, monkey dog
253	2110806	n02110806	basenji
254	2110958	n02110958	pug, pug-dog
255	2111129	n02111129	Leonberg
256	2111277	n02111277	Newfoundland, Newfoundland dog
257	2111500	n02111500	Great Pyrenees
258	2111889	n02111889	Samoyed, Samoyede
259	2112018	n02112018	Pomeranian
260	2112137	n02112137	chow, chow chow
261	2112350	n02112350	keeshond
262	2112706	n02112706	Brabancon griffon
263	2113023	n02113023	Pembroke, Pembroke Welsh corgi
264	2113186	n02113186	Cardigan, Cardigan Welsh corgi
265	2113624	n02113624	toy poodle
266	2113712	n02113712	miniature poodle
267	2113799	n02113799	standard poodle
268	2113978	n02113978	Mexican hairless
269	2114367	n02114367	timber wolf, grey wolf, gray wolf, Canis lupus
270	2114548	n02114548	white wolf, Arctic wolf, Canis lupus tundrarum
271	2114712	n02114712	red wolf, maned wolf, Canis rufus, Canis niger
272	2114855	n02114855	coyote, prairie wolf, brush wolf, Canis latrans
273	2115641	n02115641	dingo, warrigal, warragal, Canis dingo
274	2115913	n02115913	dhole, Cuon alpinus
275	2116738	n02116738	African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus
276	2117135	n02117135	hyena, hyaena
277	2119022	n02119022	red fox, Vulpes vulpes
278	2119789	n02119789	kit fox, Vulpes macrotis
279	2120079	n02120079	Arctic fox, white fox, Alopex lagopus
280	2120505	n02120505	grey fox, gray fox, Urocyon cinereoargenteus
281	2123045	n02123045	tabby, tabby cat
282	2123159	n02123159	tiger cat
283	2123394	n02123394	Persian cat
284	2123597	n02123597	Siamese cat, Siamese
285	2124075	n02124075	Egyptian cat
286	2125311	n02125311	cougar, puma, catamount, mountain lion, painter, panther, Felis concolor
287	2127052	n02127052	lynx, catamount
288	2128385	n02128385	leopard, Panthera pardus
289	2128757	n02128757	snow leopard, ounce, Panthera uncia
290	2128925	n02128925	jaguar, panther, Panthera onca, Felis onca
291	2129165	n02129165	lion, king of beasts, Panthera leo
292	2129604	n02129604	tiger, Panthera tigris
293	2130308	n02130308	cheetah, chetah, Acinonyx jubatus
294	2132136	n02132136	brown bear, bruin, Ursus arctos
295	2133161	n02133161	American black bear, black bear, Ursus americanus, Euarctos americanus
296	2134084	n02134084	ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus
297	2134418	n02134418	sloth bear, Melursus ursinus, Ursus ursinus
298	2137549	n02137549	mongoose
299	2138441	n02138441	meerkat, mierkat
300	2165105	n02165105	tiger beetle
301	2165456	n02165456	ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle
302	2167151	n02167151	ground beetle, carabid beetle
303	2168699	n02168699	long-horned beetle, longicorn, longicorn beetle
304	2169497	n02169497	leaf beetle, chrysomelid
305	2172182	n02172182	dung beetle
306	2174001	n02174001	rhinoceros beetle
307	2177972	n02177972	weevil
308	2190166	n02190166	fly
309	2206856	n02206856	bee
310	2219486	n02219486	ant, emmet, pismire
311	2226429	n02226429	grasshopper, hopper
312	2229544	n02229544	cricket
313	2231487	n02231487	walking stick, walkingstick, stick insect
314	2233338	n02233338	cockroach, roach
315	2236044	n02236044	mantis, mantid
316	2256656	n02256656	cicada, cicala
317	2259212	n02259212	leafhopper
318	2264363	n02264363	lacewing, lacewing fly
319	2268443	n02268443	dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk
320	2268853	n02268853	damselfly
321	2276258	n02276258	admiral
322	2277742	n02277742	ringlet, ringlet butterfly
323	2279972	n02279972	monarch, monarch butterfly, milkweed butterfly, Danaus plexippus
324	2280649	n02280649	cabbage butterfly
325	2281406	n02281406	sulphur butterfly, sulfur butterfly
326	2281787	n02281787	lycaenid, lycaenid butterfly
327	2317335	n02317335	starfish, sea star
328	2319095	n02319095	sea urchin
329	2321529	n02321529	sea cucumber, holothurian
330	2325366	n02325366	wood rabbit, cottontail, cottontail rabbit
331	2326432	n02326432	hare
332	2328150	n02328150	Angora, Angora rabbit
333	2342885	n02342885	hamster
334	2346627	n02346627	porcupine, hedgehog
335	2356798	n02356798	fox squirrel, eastern fox squirrel, Sciurus niger
336	2361337	n02361337	marmot
337	2363005	n02363005	beaver
338	2364673	n02364673	guinea pig, Cavia cobaya
339	2389026	n02389026	sorrel
340	2391049	n02391049	zebra
341	2395406	n02395406	hog, pig, grunter, squealer, Sus scrofa
342	2396427	n02396427	wild boar, boar, Sus scrofa
343	2397096	n02397096	warthog
344	2398521	n02398521	hippopotamus, hippo, river horse, Hippopotamus amphibius
345	2403003	n02403003	ox
346	2408429	n02408429	water buffalo, water ox, Asiatic buffalo, Bubalus bubalis
347	2410509	n02410509	bison
348	2412080	n02412080	ram, tup
349	2415577	n02415577	bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis
350	2417914	n02417914	ibex, Capra ibex
351	2422106	n02422106	hartebeest
352	2422699	n02422699	impala, Aepyceros melampus
353	2423022	n02423022	gazelle
354	2437312	n02437312	Arabian camel, dromedary, Camelus dromedarius
355	2437616	n02437616	llama
356	2441942	n02441942	weasel
357	2442845	n02442845	mink
358	2443114	n02443114	polecat, fitch, foulmart, foumart, Mustela putorius
359	2443484	n02443484	black-footed ferret, ferret, Mustela nigripes
360	2444819	n02444819	otter
361	2445715	n02445715	skunk, polecat, wood pussy
362	2447366	n02447366	badger
363	2454379	n02454379	armadillo
364	2457408	n02457408	three-toed sloth, ai, Bradypus tridactylus
365	2480495	n02480495	orangutan, orang, orangutang, Pongo pygmaeus
366	2480855	n02480855	gorilla, Gorilla gorilla
367	2481823	n02481823	chimpanzee, chimp, Pan troglodytes
368	2483362	n02483362	gibbon, Hylobates lar
369	2483708	n02483708	siamang, Hylobates syndactylus, Symphalangus syndactylus
370	2484975	n02484975	guenon, guenon monkey
371	2486261	n02486261	patas, hussar monkey, Erythrocebus patas
372	2486410	n02486410	baboon
373	2487347	n02487347	macaque
374	2488291	n02488291	langur
375	2488702	n02488702	colobus, colobus monkey
376	2489166	n02489166	proboscis monkey, Nasalis larvatus
377	2490219	n02490219	marmoset
378	2492035	n02492035	capuchin, ringtail, Cebus capucinus
379	2492660	n02492660	howler monkey, howler
380	2493509	n02493509	titi, titi monkey
381	2493793	n02493793	spider monkey, Ateles geoffroyi
382	2494079	n02494079	squirrel monkey, Saimiri sciureus
383	2497673	n02497673	Madagascar cat, ring-tailed lemur, Lemur catta
384	2500267	n02500267	indri, indris, Indri indri, Indri brevicaudatus
385	2504013	n02504013	Indian elephant, Elephas maximus
386	2504458	n02504458	African elephant, Loxodonta africana
387	2509815	n02509815	lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens
388	2510455	n02510455	giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca
389	2514041	n02514041	barracouta, snoek
390	2526121	n02526121	eel
391	2536864	n02536864	coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch
392	2606052	n02606052	rock beauty, Holocanthus tricolor
393	2607072	n02607072	anemone fish
394	2640242	n02640242	sturgeon
395	2641379	n02641379	gar, garfish, garpike, billfish, Lepisosteus osseus
396	2643566	n02643566	lionfish
397	2655020	n02655020	puffer, pufferfish, blowfish, globefish
398	2666196	n02666196	abacus
399	2667093	n02667093	abaya
400	2669723	n02669723	academic gown, academic robe, judge's robe
401	2672831	n02672831	accordion, piano accordion, squeeze box
402	2676566	n02676566	acoustic guitar
403	2687172	n02687172	aircraft carrier, carrier, flattop, attack aircraft carrier
404	2690373	n02690373	airliner
405	2692877	n02692877	airship, dirigible
406	2699494	n02699494	altar
407	2701002	n02701002	ambulance
408	2704792	n02704792	amphibian, amphibious vehicle
409	2708093	n02708093	analog clock
410	2727426	n02727426	apiary, bee house
411	2730930	n02730930	apron
412	2747177	n02747177	ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin
413	2749479	n02749479	assault rifle, assault gun
414	2769748	n02769748	backpack, back pack, knapsack, packsack, rucksack, haversack
415	2776631	n02776631	bakery, bakeshop, bakehouse
416	2777292	n02777292	balance beam, beam
417	2782093	n02782093	balloon
418	2783161	n02783161	ballpoint, ballpoint pen, ballpen, Biro
419	2786058	n02786058	Band Aid
420	2787622	n02787622	banjo
421	2788148	n02788148	bannister, banister, balustrade, balusters, handrail
422	2790996	n02790996	barbell
423	2791124	n02791124	barber chair
424	2791270	n02791270	barbershop
425	2793495	n02793495	barn
426	2794156	n02794156	barometer
427	2795169	n02795169	barrel, cask
428	2797295	n02797295	barrow, garden cart, lawn cart, wheelbarrow
429	2799071	n02799071	baseball
430	2802426	n02802426	basketball
431	2804414	n02804414	bassinet
432	2804610	n02804610	bassoon
433	2807133	n02807133	bathing cap, swimming cap
434	2808304	n02808304	bath towel
435	2808440	n02808440	bathtub, bathing tub, bath, tub
436	2814533	n02814533	beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon
437	2814860	n02814860	beacon, lighthouse, beacon light, pharos
438	2815834	n02815834	beaker
439	2817516	n02817516	bearskin, busby, shako
440	2823428	n02823428	beer bottle
441	2823750	n02823750	beer glass
442	2825657	n02825657	bell cote, bell cot
443	2834397	n02834397	bib
444	2835271	n02835271	bicycle-built-for-two, tandem bicycle, tandem
445	2837789	n02837789	bikini, two-piece
446	2840245	n02840245	binder, ring-binder
447	2841315	n02841315	binoculars, field glasses, opera glasses
448	2843684	n02843684	birdhouse
449	2859443	n02859443	boathouse
450	2860847	n02860847	bobsled, bobsleigh, bob
451	2865351	n02865351	bolo tie, bolo, bola tie, bola
452	2869837	n02869837	bonnet, poke bonnet
453	2870880	n02870880	bookcase
454	2871525	n02871525	bookshop, bookstore, bookstall
